Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR244662,324212600,TSI,EUR,NA20544,
ERR244196,324212600,LWK,AFR,NA19439,
ERR244724,324316600,TSI,EUR,NA20528,
ERR241805,324317600,TSI,EUR,NA20798,
ERR239854,324459800,JPT,EAS,NA18973,
ERR239739,324497400,LWK,AFR,NA19437,
ERR244582,324552400,TSI,EUR,NA20544,
ERR244193,324603000,LWK,AFR,NA19439,
ERR244187,324653800,LWK,AFR,NA19439,
ERR244542,324662800,TSI,EUR,NA20544,
ERR243712,324754000,CEU,EUR,NA12749,
ERR242233,324857600,TSI,EUR,NA20529,
ERR246087,324883400,JPT,EAS,NA18951,
ERR244684,324891400,TSI,EUR,NA20528,
ERR239746,324907600,LWK,AFR,NA19439,
ERR246050,325041200,JPT,EAS,NA18951,
ERR244604,325044200,TSI,EUR,NA20528,
ERR244564,325093400,TSI,EUR,NA20528,
ERR244502,325100600,TSI,EUR,NA20544,
ERR242565,325229200,TSI,EUR,NA20798,
ERR243547,325240000,CEU,EUR,NA11894,
ERR239730,325315800,LWK,AFR,NA19437,
ERR240256,325369800,JPT,EAS,NA18951,
ERR246076,325405800,JPT,EAS,NA18951,
ERR244184,325454800,LWK,AFR,NA19439,
ERR243300,325491800,CEU,EUR,NA11893,
ERR246106,325549400,CHB,EAS,NA18614,
ERR246103,325631000,CHB,EAS,NA18614,
ERR243699,325720200,CEU,EUR,NA11893,
ERR246039,325726600,JPT,EAS,NA18951,
ERR240072,325749000,JPT,EAS,NA18944,
ERR239690,325825200,LWK,AFR,NA19446,
ERR239724,325843000,LWK,AFR,NA19437,
ERR243111,325884400,CEU,EUR,NA12828,
ERR244524,325940600,TSI,EUR,NA20528,
ERR246099,325973600,CHB,EAS,NA18614,
ERR239696,325996000,LWK,AFR,NA19446,
ERR240495,326049800,CHB,EAS,NA18614,
ERR244622,326077200,TSI,EUR,NA20544,
ERR242738,326095200,TSI,EUR,NA20528,
ERR239869,326137600,JPT,EAS,NA18973,
ERR239742,326325000,LWK,AFR,NA19437,
ERR244181,326353400,LWK,AFR,NA19439,
ERR243733,326413400,CEU,EUR,NA12749,
ERR242717,326468200,TSI,EUR,NA20544,
ERR246027,326478000,JPT,EAS,NA18951,
ERR242605,326541200,TSI,EUR,NA20798,
ERR242172,326551600,TSI,EUR,NA20510,
ERR243107,326720800,CEU,EUR,NA10851,
ERR246096,326760000,CHB,EAS,NA18614,
ERR246093,326877200,CHB,EAS,NA18614,
ERR244190,326896000,LWK,AFR,NA19439,
